完整英文名,名(Forename),姓(Surname),中文名
Gerald Howarth,Gerald,Howarth,杰拉德·豪沃思
Gary Puffett,Gary,Puffett,加里·普费特
Bill Walker,Bill,Walker,比尔·沃克
Alan Hilliar,Alan,Hilliar,艾伦·希利亚尔
Carl Hewitt,Carl,Hewitt,卡尔·休伊特
Wendy Morton,Wendy,Morton,温迪·莫顿
John Fisher,John,Fisher,约翰·费希尔
Anthony Thompson,Anthony,Thompson,安东尼·汤普森
Ian Garrett,Ian,Garrett,伊恩·加勒特
Martyn Curzey,Martyn,Curzey,马丁·柯西
Mark Beech,Mark,Beech,马克·比奇
Graham Brady,Graham,Brady,格雷厄姆·布雷迪
James Wright,James,Wright,詹姆斯·赖特
Jane Brophy,Jane,Brophy,简·布罗菲
Christopher Frost,Christopher,Frost,克里斯托弗·弗罗斯特
Nick Robertson-Brown,Nick,Robertson-Brown,尼克·罗伯逊-布朗
Nigel Mills,Nigel,Mills,奈杰尔·米尔斯
Kevin Gillott,Kevin,Gillott,凯文·吉洛特
Stuart Bent,Stuart,Bent,斯图尔特·本特
Kate Smith,Kate,Smith,凯特·史密斯
John Devine,John,Devine,约翰·迪瓦恩
Nick Herbert,Nick,Herbert,尼克·赫伯特
Peter Grace,Peter,Grace,彼得·格雷斯
Christopher Wellbelove,Christopher,Wellbelove,克里斯托弗·韦尔伯拉夫
Shweta Kapadia,Shweta,Kapadia,舒薇塔·卡帕迪亚
Isabel Thurston,Isabel,Thurston,伊莎贝尔·瑟斯顿
Gloria De Piero,Gloria,De Piero,格洛丽亚·德·皮耶罗
Helen Harrison,Helen,Harrison,海伦·哈里森
Simon Ashcroft,Simon,Ashcroft,西蒙·阿什克罗夫特
Philip Smith,Philip,Smith,菲利普·史密斯
Mike Buchanan,Mike,Buchanan,迈克·布坎南
Damian Green,Damian,Green,达米安·格林
Gerald O'Brien,Gerald,O'Brien,杰拉德·奥布莱恩
Brendan Chilton,Brendan,Chilton,布伦丹·奇尔顿
Debbie Enever,Debbie,Enever,黛比·埃尼弗
Mandy Rossi,Mandy,Rossi,曼迪·罗西
Angela Rayner,Angela,Rayner,安吉拉·雷纳
Tracy Sutton,Tracy,Sutton,特蕾西·萨顿
Maurice Jackson,Maurice,Jackson,莫里斯·杰克逊
Charlotte Hughes,Charlotte,Hughes,夏洛特·休斯
Carly Hicks,Carly,Hicks,卡莉·希克斯
David Lidington,David,Lidington,戴维·利丁顿
Christopher Adams,Christopher,Adams,克里斯托弗·亚当斯
Will Cass,Will,Cass,威尔·卡斯
Steven Lambert,Steven,Lambert,史蒂文·兰伯特
David Lyons,David,Lyons,戴维·莱昂斯
Victoria Prentis,Victoria,Prentis,维多利亚·普伦蒂斯
Sean Woodcock,Sean,Woodcock,肖恩·伍德科克
Dickie Bird,Dickie,Bird,迪基·伯德
John Howson,John,Howson,约翰·豪森
Ian Middleton,Ian,Middleton,伊恩·米德尔顿
Roseanne Edwards,Roseanne,Edwards,罗珊娜·爱德华兹
Margaret Hodge,Margaret,Hodge,玛格丽特·霍奇
Roger Gravett,Roger,Gravett,罗杰·格拉维特
Mina Rahman,Mina,Rahman,米娜·拉赫曼
Tony  Rablen,Tony,Rablen,托尼·拉布伦
Peter Wilcock,Peter,Wilcock,彼得·威尔科克
Joseph Mambuliya,Joseph,Mambuliya,约瑟夫·曼布里亚
Dan Jarvis,Dan,Jarvis,丹·贾维斯
Lee Hunter,Lee,Hunter,李·亨特
Kay Carter,Kay,Carter,凯·卡特
Michael  Short,Michael,Short,迈克尔·肖特
John Ridgway,John,Ridgway,约翰·里奇韦
Dave Gibson,Dave,Gibson,戴夫·吉布森
Ian Sutton,Ian,Sutton,伊恩·萨顿
Michael Dugher,Michael,Dugher,迈克尔·达格
Robert Swiffen,Robert,Swiffen,罗伯特·斯威芬
Katharine Harborne,Katharine,Harborne,凯瑟琳·哈伯恩
Ruth Coleman-Taylor,Ruth,Coleman-Taylor,鲁思·科尔曼-泰勒
Tony Devoy,Tony,Devoy,托尼·德沃伊
Kevin Riddiough,Kevin,Riddiough,凯文·里迪奥
Ralph Dyson,Ralph,Dyson,拉尔夫·戴森
Billy Marsden,Billy,Marsden,比利·马斯登
John Woodcock,John,Woodcock,约翰·伍德科克
Simon Fell,Simon,Fell,西蒙·费尔
Nigel  Cecil,Nigel,Cecil,奈杰尔·塞西尔
Clive Peaple,Clive,Peaple,克莱夫·皮普尔
Robert O'Hara,Robert,O'Hara,罗伯特·奥哈拉
Ian Jackson,Ian,Jackson,伊恩·杰克逊
John Baron,John,Baron,约翰·巴伦
Gavin Callaghan,Gavin,Callaghan,加文·卡拉汉
George Konstantinidis,George,Konstantinidis,乔治·康斯坦丁尼迪斯
Martin Thompson,Martin,Thompson,马丁·汤普森
Maria Miller,Maria,Miller,玛丽亚·米勒
Paul Harvey,Paul,Harvey,保罗·哈维
Alan Stone,Alan,Stone,艾伦·斯通
Janice Spalding,Janice,Spalding,贾妮丝·斯波尔丁
Omar Selim,Omar,Selim,奥马尔·塞利姆
John Mann,John,Mann,约翰·曼恩
Sarah Downes,Sarah,Downes,莎拉·唐斯
David Scott,David,Scott,戴维·斯科特
Leon Duveen,Leon,Duveen,莱昂·杜文
Kris Wragg,Kris,Wragg,克里斯·拉格
Ben Howlett,Ben,Howlett,本·豪利特
Steve Bradley,Steve,Bradley,史蒂夫·布拉德利
Ollie Middleton,Ollie,Middleton,奥利·米德尔顿
Dominic Tristram,Dominic,Tristram,多米尼克·特里斯特拉姆
Julian Deverell,Julian,Deverell,朱利安·德弗雷尔
Loraine Morgan-Brinkhurst,Loraine,Morgan-Brinkhurst,洛兰·摩根-布林克赫斯特
Jenny Knight,Jenny,Knight,珍妮·奈特
Jo Cox,Jo,Cox,乔·考克斯
