选区编号?,选区名称（中文）?,地区?,国家/构成国
1,阿伯拉旺,威尔士,威尔士
2,阿伯康威,威尔士,威尔士
3,阿伯丁北,苏格兰,苏格兰
4,阿伯丁南,苏格兰,苏格兰
5,西阿伯丁郡与金卡丁,苏格兰,苏格兰
6,艾尔德里与肖茨,苏格兰,苏格兰
7,奥尔德肖特,东南英格兰,英格兰
8,奥德里奇-布朗希尔斯,西米德兰兹,英格兰
9,奥特林厄姆与西塞尔,西北英格兰,英格兰
10,阿林与迪赛德,威尔士,威尔士
11,安伯瓦利,东米德兰兹,英格兰
12,安格斯,苏格兰,苏格兰
13,东安特里姆,北爱尔兰,北爱尔兰
14,北安特里姆,北爱尔兰,北爱尔兰
15,南安特里姆,北爱尔兰,北爱尔兰
16,阿尔丰,威尔士,威尔士
17,阿盖尔与比特,苏格兰,苏格兰
18,阿伦德尔与南唐斯,东南英格兰,英格兰
19,阿什菲尔德,东米德兰兹,英格兰
20,阿什福德,东南英格兰,英格兰
21,阿什顿安德莱恩,西北英格兰,英格兰
22,艾尔斯伯里,东南英格兰,英格兰
23,艾尔、卡里克与坎诺克,苏格兰,苏格兰
24,中艾尔郡,苏格兰,苏格兰
25,北艾尔郡与阿伦,苏格兰,苏格兰
26,班伯里,东南英格兰,英格兰
27,班夫与巴肯,苏格兰,苏格兰
28,巴金,伦敦,英格兰
29,巴恩斯利中央,约克郡-亨伯,英格兰
30,巴恩斯利东,约克郡-亨伯,英格兰
31,巴罗与弗内斯,西北英格兰,英格兰
32,巴西尔登与比利特里凯,东英格兰,英格兰
33,南巴西尔登与东瑟罗克,东英格兰,英格兰
34,贝辛斯托克,东南英格兰,英格兰
35,巴塞特劳,东米德兰兹,英格兰
36,巴斯,西南英格兰,英格兰
37,巴特利与斯彭,约克郡-亨伯,英格兰
38,巴特西,伦敦,英格兰
39,比肯斯菲尔德,东南英格兰,英格兰
40,贝肯纳姆,伦敦,英格兰
41,贝德福德,东英格兰,英格兰
42,中贝德福德郡,东英格兰,英格兰
43,东北贝德福德郡,东英格兰,英格兰
44,西南贝德福德郡,东英格兰,英格兰
45,贝尔法斯特东,北爱尔兰,北爱尔兰
46,贝尔法斯特北,北爱尔兰,北爱尔兰
47,贝尔法斯特南,北爱尔兰,北爱尔兰
48,贝尔法斯特西,北爱尔兰,北爱尔兰
49,伯蒙齐与老萨瑟克,伦敦,英格兰
50,贝里克,东北英格兰,英格兰
51,贝里克郡、罗克斯堡与塞尔扣克,苏格兰,苏格兰
52,贝斯纳尔格林与鲍,伦敦,英格兰
53,贝弗利与霍尔德内斯,约克郡-亨伯,英格兰
54,贝克斯希尔与巴特尔,东南英格兰,英格兰
55,贝克斯利希思与克雷福德,伦敦,英格兰
56,伯肯黑德,西北英格兰,英格兰
57,伯明翰埃德巴斯顿,西米德兰兹,英格兰
58,伯明翰厄丁顿,西米德兰兹,英格兰
59,伯明翰霍尔格林,西米德兰兹,英格兰
60,伯明翰霍奇希尔,西米德兰兹,英格兰
61,伯明翰莱迪伍德,西米德兰兹,英格兰
62,伯明翰诺斯菲尔德,西米德兰兹,英格兰
63,伯明翰佩里巴尔,西米德兰兹,英格兰
64,伯明翰塞利奥克,西米德兰兹,英格兰
65,伯明翰亚德利,西米德兰兹,英格兰
66,毕晓普奥克兰,东北英格兰,英格兰
67,布莱克本,西北英格兰,英格兰
68,布莱克利与布劳顿,西北英格兰,英格兰
69,布莱克浦北与克利夫利,西北英格兰,英格兰
70,布莱克浦南,西北英格兰,英格兰
71,布莱奈格温特,威尔士,威尔士
72,布莱登,东北英格兰,英格兰
73,布莱斯谷,东北英格兰,英格兰
74,博格诺里吉斯与利特尔汉普顿,东南英格兰,英格兰
75,博尔索弗,东米德兰兹,英格兰
76,博尔顿东北,西北英格兰,英格兰
77,博尔顿东南,西北英格兰,英格兰
78,博尔顿西,西北英格兰,英格兰
79,布特尔,西北英格兰,英格兰
80,波士顿与斯凯格内斯,东米德兰兹,英格兰
81,博斯沃思,东米德兰兹,英格兰
82,伯恩茅斯东,西南英格兰,英格兰
83,伯恩茅斯西,西南英格兰,英格兰
84,布拉克内尔,东南英格兰,英格兰
85,布拉德福德东,约克郡-亨伯,英格兰
86,布拉德福德南,约克郡-亨伯,英格兰
87,布拉德福德西,约克郡-亨伯,英格兰
88,布伦特里,东英格兰,英格兰
89,布雷肯与拉德诺郡,威尔士,威尔士
90,布伦特中央,伦敦,英格兰
91,布伦特北,伦敦,英格兰
92,布伦特福德与艾尔沃思,伦敦,英格兰
93,布伦特伍德与翁加尔,东英格兰,英格兰
94,布里真德,威尔士,威尔士
95,布里奇沃特与西萨默塞特,西南英格兰,英格兰
96,布里格与古尔,约克郡-亨伯,英格兰
97,布赖顿肯普敦,东南英格兰,英格兰
98,布赖顿阁楼,东南英格兰,英格兰
99,布里斯托尔东,西南英格兰,英格兰
100,布里斯托尔西北,西南英格兰,英格兰
101,布里斯托尔南,西南英格兰,英格兰
102,布里斯托尔西,西南英格兰,英格兰
103,布罗德兰,东英格兰,英格兰
104,布罗姆利与奇斯尔赫斯特,伦敦,英格兰
105,布罗姆斯格罗夫,西米德兰兹,英格兰
106,布罗克斯本,东英格兰,英格兰
107,布罗克斯托,东米德兰兹,英格兰
108,白金汉,东南英格兰,英格兰
109,伯恩利,西北英格兰,英格兰
110,伯顿,西米德兰兹,英格兰
111,伯里北,西北英格兰,英格兰
112,伯里南,西北英格兰,英格兰
113,伯里圣埃德蒙兹,东英格兰,英格兰
114,卡尔菲利,威尔士,威尔士
115,凯斯内斯、萨瑟兰与伊斯特罗斯,苏格兰,苏格兰
116,考尔德谷,约克郡-亨伯,英格兰
117,坎伯韦尔与佩卡姆,伦敦,英格兰
118,坎伯恩与雷德鲁斯,西南英格兰,英格兰
119,剑桥,东英格兰,英格兰
120,东北剑桥郡,东英格兰,英格兰
121,西北剑桥郡,东英格兰,英格兰
122,南剑桥郡,东英格兰,英格兰
123,东南剑桥郡,东英格兰,英格兰
124,坎诺克蔡斯,西米德兰兹,英格兰
125,坎特伯雷,东南英格兰,英格兰
126,加的夫中央,威尔士,威尔士
127,加的夫北,威尔士,威尔士
128,加的夫南与珀纳斯,威尔士,威尔士
129,加的夫西,威尔士,威尔士
130,卡莱尔,西北英格兰,英格兰
131,卡马森东与迪内弗尔,威尔士,威尔士
132,卡马森西与南彭布罗克郡,威尔士,威尔士
